                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7601,                 2.3526,                0.93593,                0.03566,                0.25046,                0.20279,                0.09795,                 1.5683,                 2.7675,                0.87831,             0.00040799,             0.00040799,             0.00040799
                      2,                 1.5067,                 1.1816,                0.87859,                0.84876,                0.21303,                0.23693,                0.13237,                 1.3664,                 1.6495,                0.86297,             0.00080832,             0.00080832,             0.00080832
                      3,                 1.4563,                 1.0859,                0.87456,                0.82831,                0.26482,                0.31198,                0.18352,                 1.3031,                 1.1751,                0.85976,              0.0011922,              0.0011922,              0.0011922
                      4,                 1.4278,                 1.0013,                0.86665,                0.71003,                0.35388,                0.37518,                0.19457,                 1.4844,                 1.1027,                0.88211,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3839,                0.92924,                0.86624,                0.74269,                0.43643,                0.46583,                0.25588,                 1.3114,                0.90109,                0.85386,               0.001151,               0.001151,               0.001151
                      6,                 1.3741,                0.93145,                0.86719,                0.80148,                 0.4204,                0.49452,                0.28328,                 1.3064,                0.88481,                0.85394,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.4001,                0.85891,                0.86398,                0.80082,                 0.4939,                0.59326,                0.33769,                 1.2765,                0.80956,                0.85387,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3164,                0.81677,                0.84921,                 0.8415,                0.54744,                0.60311,                0.32198,                 1.2462,                0.76448,                0.84982,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.3156,                 0.7855,                0.84968,                0.78747,                0.49136,                0.58358,                0.34001,                 1.1555,                0.74439,                0.84007,               0.001052,               0.001052,               0.001052
                     10,                  1.247,                0.75744,                0.84411,                0.82628,                0.51749,                0.60354,                0.35503,                 1.2122,                0.76437,                0.84276,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2463,                0.73086,                0.84266,                0.83622,                0.56991,                0.65758,                0.38835,                 1.1911,                0.69662,                0.84372,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.2371,                0.71436,                0.84145,                0.77121,                0.56667,                0.64296,                 0.3748,                 1.1906,                0.70891,                 0.8419,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.2272,                0.69341,                0.83626,                0.76132,                0.62561,                0.65808,                 0.3811,                 1.1416,                0.65164,                0.83484,               0.000953,               0.000953,               0.000953
                     14,                 1.1984,                0.67197,                0.83508,                0.81242,                  0.633,                0.67144,                0.39881,                 1.0942,                0.63597,                0.83166,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1884,                0.65703,                0.83525,                0.84862,                 0.6389,                 0.6908,                0.39154,                 1.2023,                 0.6455,                0.83883,              0.0009035,              0.0009035,              0.0009035
