                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4277,                 11.165,                0.68917,                 1.7452,                 1.7339,                0.99588,                      1,                  0.995,                 0.8954,                      0,                      0,                      0,                      0,                 0.5557,                 11.827,                 0.6864,                0.74191,                0.83412,                0.00026,                0.00026,                0.00026
                      2,                0.57445,                 10.783,                0.63966,                0.42375,                 1.0988,                0.98438,                      1,                  0.995,                0.93721,                      0,                      0,                      0,                      0,                0.42094,                 11.798,                0.65542,                0.50613,                0.74213,             0.00053465,             0.00053465,             0.00053465
                      3,                0.57106,                 10.608,                0.60121,                0.39924,                 1.0735,                0.99778,                      1,                  0.995,                0.90579,                      0,                      0,                      0,                      0,                0.55281,                 10.848,                0.60379,                0.56698,                0.90838,             0.00080376,             0.00080376,             0.00080376
                      4,                0.55905,                 10.355,                0.55733,                0.40133,                 1.0588,                      1,                0.99158,                  0.995,                0.88442,                      0,                      0,                      0,                      0,                0.69237,                 11.436,                0.59784,                0.81831,                 1.0095,              0.0010673,              0.0010673,              0.0010673
                      5,                0.51286,                 9.7903,                0.50964,                0.41158,                 1.0473,                0.96525,                0.96667,                0.99127,                0.88432,                      0,                      0,                      0,                      0,                0.67713,                 11.171,                0.59669,                0.82036,                0.95195,              0.0013254,              0.0013254,              0.0013254
                      6,                0.53776,                  9.792,                0.47008,                0.40535,                 1.0486,                0.88142,                0.99127,                0.97105,                0.69298,                      0,                      0,                      0,                      0,                 1.0088,                  11.11,                0.58171,                0.98022,                 1.3213,              0.0015778,              0.0015778,              0.0015778
                      7,                0.56176,                 9.2951,                0.45378,                 0.4157,                 1.0618,                0.96707,                0.97907,                0.99403,                0.70469,                      0,                      0,                      0,                      0,                  1.037,                  11.32,                0.65934,                 1.0728,                 1.3472,              0.0018248,              0.0018248,              0.0018248
                      8,                0.56088,                 9.1509,                 0.4307,                0.42608,                 1.0732,                0.87625,                      1,                0.97815,                0.74021,                      0,                      0,                      0,                      0,                0.93274,                 10.918,                0.49572,                0.73697,                 1.2622,              0.0018614,              0.0018614,              0.0018614
                      9,                0.52128,                 8.8507,                0.40818,                0.44131,                  1.037,                0.93636,                 0.9812,                0.99312,                0.93155,                      0,                      0,                      0,                      0,                0.47119,                 10.578,                0.43517,                0.78902,                0.77932,              0.0018416,              0.0018416,              0.0018416
                     10,                0.48901,                  8.528,                0.41316,                0.39443,                 1.0052,                0.96486,                      1,                0.99177,                0.92152,                      0,                      0,                      0,                      0,                0.47924,                 9.5908,                0.40775,                0.55164,                0.75896,              0.0018218,              0.0018218,              0.0018218
                     11,                0.48733,                 8.2041,                0.39412,                 0.3788,                 1.0264,                0.90699,                 0.9753,                0.99127,                0.89561,                      0,                      0,                      0,                      0,                0.51333,                 10.058,                0.46932,                0.77514,                0.82911,               0.001802,               0.001802,               0.001802
                     12,                0.49822,                 8.1533,                0.39958,                0.37651,                 1.0127,                0.92669,                      1,                0.99312,                0.80844,                  0.031,                0.03333,                0.00294,                0.00059,                0.70979,                 8.4397,                0.42585,                0.96876,                0.94984,              0.0017822,              0.0017822,              0.0017822
                     13,                0.49364,                 8.0546,                 0.3906,                0.37502,                 1.0149,                0.90259,                      1,                0.97292,                 0.8179,                      0,                      0,                      0,                      0,                 0.6906,                 10.052,                0.52849,                0.75397,                 0.9968,              0.0017624,              0.0017624,              0.0017624
                     14,                0.48438,                 7.9192,                0.38135,                0.36318,                 1.0078,                0.97475,                      1,                  0.995,                 0.7963,                0.06492,                0.06667,                0.00996,                  0.001,                0.84363,                  7.945,                0.54136,                0.76951,                 1.1059,              0.0017426,              0.0017426,              0.0017426
                     15,                0.48604,                 7.7588,                0.38693,                0.37542,                 1.0185,                0.99289,                      1,                  0.995,                0.88738,                0.03329,                0.03333,                0.00532,                0.00106,                 0.6019,                 8.1782,                0.44305,                 0.5351,                0.91591,              0.0017228,              0.0017228,              0.0017228
                     16,                0.46985,                 7.7222,                0.36449,                0.36964,                 1.0047,                0.96284,                      1,                  0.995,                0.93617,                0.09988,                0.06667,                0.07104,                0.01535,                 0.4536,                 8.6971,                0.44802,                0.38825,                0.71948,               0.001703,               0.001703,               0.001703
                     17,                0.44654,                 7.5406,                0.35782,                0.34564,                0.99505,                0.99741,                      1,                  0.995,                 0.9633,                0.20388,                    0.2,                0.12081,                0.02032,                 0.4047,                 6.3634,                0.41023,                0.35816,                0.70328,              0.0016832,              0.0016832,              0.0016832
                     18,                0.41863,                 7.1449,                0.36288,                0.33374,                0.98839,                0.99725,                      1,                  0.995,                0.97198,                      0,                      0,                      0,                      0,                0.38501,                 8.1659,                0.45844,                0.39344,                0.74306,              0.0016634,              0.0016634,              0.0016634
