                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4277,                 11.165,                0.68917,                 1.7452,                 1.7339,                0.99588,                      1,                  0.995,                 0.8954,                      0,                      0,                      0,                      0,                 0.5557,                 11.827,                 0.6864,                0.74191,                0.83412,                0.00026,                0.00026,                0.00026
                      2,                0.57903,                 10.769,                0.63988,                0.42869,                 1.1025,                0.99698,                      1,                  0.995,                0.94857,                      0,                      0,                      0,                      0,                0.41426,                 11.807,                0.65887,                0.45693,                0.74141,             0.00052664,             0.00052664,             0.00052664
                      3,                0.57036,                 10.601,                0.60149,                0.39051,                 1.0767,                0.93561,                      1,                0.99177,                0.89382,                      0,                      0,                      0,                      0,                0.62063,                 10.937,                0.59501,                0.89968,                0.94363,             0.00077941,             0.00077941,             0.00077941
                      4,                0.55681,                 10.421,                0.55898,                0.39844,                 1.0574,                0.85451,                      1,                0.99079,                0.85981,                      0,                      0,                      0,                      0,                0.57391,                 11.061,                0.58329,                0.88265,                0.84667,              0.0010183,              0.0010183,              0.0010183
                      5,                0.52463,                 9.7916,                0.51517,                0.38558,                 1.0495,                0.93689,                      1,                0.99212,                0.81537,                      0,                      0,                      0,                      0,                0.73051,                 11.421,                0.55106,                 1.0833,                 1.0295,              0.0012434,              0.0012434,              0.0012434
                      6,                0.55531,                 9.7034,                0.47816,                0.41741,                 1.0579,                 0.8648,                0.96667,                0.98832,                0.88197,                      0,                      0,                      0,                      0,                0.52334,                 11.022,                 0.4217,                 1.0258,                0.81997,              0.0014546,              0.0014546,              0.0014546
                      7,                0.57669,                 9.6026,                0.44583,                0.41159,                 1.0747,                0.95914,                      1,                0.99403,                0.90354,                      0,                      0,                      0,                      0,                0.68982,                 11.068,                 0.4299,                0.59789,                0.94332,              0.0016519,              0.0016519,              0.0016519
                      8,                0.58859,                 9.1135,                0.44177,                0.43165,                 1.0853,                0.87906,                 0.9692,                 0.9407,                0.75006,                      0,                      0,                      0,                      0,                0.75465,                 10.629,                0.42038,                0.89716,                 1.0607,              0.0016535,              0.0016535,              0.0016535
                      9,                0.52443,                 8.8757,                0.42439,                0.39114,                 1.0375,                 0.9979,                      1,                  0.995,                0.94748,                      0,                      0,                      0,                      0,                0.43593,                 10.577,                0.57404,                0.46179,                0.73749,               0.001604,               0.001604,               0.001604
                     10,                0.46097,                 8.4112,                0.42196,                0.37697,                0.99539,                0.99745,                      1,                  0.995,                0.90175,                      0,                      0,                      0,                      0,                0.52957,                 10.254,                0.47955,                0.44555,                0.88927,              0.0015545,              0.0015545,              0.0015545
                     11,                0.45331,                 8.5506,                0.39752,                0.35368,                 0.9979,                0.96359,                      1,                0.99403,                0.92062,                      0,                      0,                      0,                      0,                0.50402,                 9.0794,                 0.3972,                0.41588,                 0.8395,               0.001505,               0.001505,               0.001505
                     12,                0.44813,                  8.012,                0.39163,                0.35961,                0.99909,                0.95184,                      1,                0.99177,                0.76444,                0.06445,                0.06667,                0.02116,                0.00297,                0.84091,                 7.3717,                0.40883,                0.75183,                 1.1039,              0.0014555,              0.0014555,              0.0014555
                     13,                0.42622,                 7.5872,                0.39216,                0.35161,                 0.9996,                0.98395,                      1,                  0.995,                0.92917,                      0,                      0,                      0,                      0,                0.48322,                 10.039,                0.40165,                0.39268,                0.78961,               0.001406,               0.001406,               0.001406
                     14,                0.45962,                 7.9823,                0.38708,                0.35307,                 1.0061,                0.99725,                      1,                  0.995,                0.95882,                0.03333,                0.03333,                0.00971,                0.00208,                0.38743,                 8.1837,                0.42108,                 0.4795,                0.70699,              0.0013565,              0.0013565,              0.0013565
                     15,                0.42486,                 7.7823,                0.38148,                0.34152,                0.99982,                0.99674,                      1,                  0.995,                 0.9602,                      0,                      0,                      0,                      0,                0.44153,                 8.6526,                0.45428,                0.38589,                0.72841,               0.001307,               0.001307,               0.001307
                     16,                 0.4185,                 7.5342,                0.36893,                0.33224,                0.97385,                 0.9886,                      1,                  0.995,                0.95509,                      0,                      0,                      0,                      0,                0.42542,                 8.3566,                 0.4189,                0.40008,                0.72323,              0.0012575,              0.0012575,              0.0012575
                     17,                0.41326,                 7.2869,                0.36431,                0.33199,                0.97759,                0.99494,                      1,                  0.995,                0.95746,                0.03327,                0.03333,                0.01348,                0.00135,                0.44161,                 7.0898,                0.40653,                0.36833,                 0.7784,               0.001208,               0.001208,               0.001208
                     18,                0.40273,                 6.9076,                 0.3589,                0.31735,                0.97794,                0.95633,                      1,                0.99403,                0.95102,                0.09551,                    0.1,                0.01803,                 0.0018,                0.42449,                 8.2014,                0.56279,                0.46223,                0.75266,              0.0011585,              0.0011585,              0.0011585
                     19,                0.37706,                 6.5663,                0.34911,                0.31221,                0.96694,                 0.9969,                      1,                  0.995,                 0.9441,                0.19931,                    0.2,                0.07071,                0.00989,                0.43207,                 6.1717,                0.39018,                0.35487,                0.79138,               0.001109,               0.001109,               0.001109
                     20,                0.35492,                 6.5025,                0.35295,                0.29153,                0.95007,                0.99588,                      1,                  0.995,                0.92837,                0.19928,                    0.2,                0.07034,                0.01554,                0.44095,                 6.3575,                0.39211,                0.35537,                0.81241,              0.0010595,              0.0010595,              0.0010595
                     21,                0.37439,                 6.1964,                0.34006,                0.30577,                0.96195,                      1,                0.99306,                  0.995,                0.89356,                0.34199,                0.33333,                0.19036,                0.03846,                0.53728,                 5.9953,                0.41252,                0.42397,                  0.886,                0.00101,                0.00101,                0.00101
                     22,                0.36546,                 6.3123,                0.34118,                0.29715,                0.95913,                0.99735,                      1,                  0.995,                0.95272,                0.26636,                0.26667,                0.10279,                0.01629,                0.42421,                 5.6747,                0.38529,                0.37239,                0.78063,              0.0009605,              0.0009605,              0.0009605
                     23,                0.37385,                 6.5828,                0.35116,                0.30026,                0.94179,                 0.9977,                      1,                  0.995,                0.92917,                0.56534,                0.56667,                0.37835,                0.09768,                0.40072,                 4.9539,                0.37805,                0.35521,                0.77182,               0.000911,               0.000911,               0.000911
                     24,                0.33891,                 5.8076,                0.34013,                0.27612,                0.93169,                0.99807,                      1,                  0.995,                0.96716,                0.46573,                0.46667,                0.25456,                0.05486,                0.36426,                 5.1054,                 0.3746,                0.31024,                0.71796,              0.0008615,              0.0008615,              0.0008615
                     25,                0.37079,                 5.6913,                 0.3256,                0.28911,                0.96265,                0.99745,                      1,                  0.995,                0.98678,                0.49931,                    0.5,                  0.369,                0.07858,                0.30399,                 5.2739,                0.39756,                0.27099,                0.65172,               0.000812,               0.000812,               0.000812
                     26,                0.32851,                 5.6994,                0.33489,                0.27482,                0.93409,                 0.9982,                      1,                  0.995,                0.96137,                0.46646,                0.46667,                0.34063,                0.09909,                 0.3311,                  5.009,                0.38373,                0.28842,                0.63865,              0.0007625,              0.0007625,              0.0007625
                     27,                0.32231,                 5.6647,                0.32239,                0.26625,                0.93445,                0.99814,                      1,                  0.995,                0.97792,                0.64456,                0.66497,                0.49087,                0.11361,                0.33089,                 4.6582,                 0.3967,                0.28178,                0.65009,               0.000713,               0.000713,               0.000713
                     28,                0.32871,                 5.5055,                0.33142,                0.26125,                0.94318,                0.99813,                      1,                  0.995,                0.99206,                0.43277,                0.43333,                0.29161,                 0.0721,                0.28828,                   4.97,                0.38832,                0.28123,                 0.6246,              0.0006635,              0.0006635,              0.0006635
                     29,                0.30732,                 5.4179,                0.33509,                0.26091,                0.93008,                0.99797,                      1,                  0.995,                0.96558,                0.66531,                0.66667,                0.51605,                0.13546,                0.30641,                 4.6748,                0.38498,                0.27049,                0.64003,               0.000614,               0.000614,               0.000614
                     30,                0.29662,                 5.0987,                0.33157,                0.25215,                0.92571,                0.99781,                      1,                  0.995,                0.97147,                0.49891,                    0.5,                  0.451,                0.14252,                0.35112,                 4.6832,                0.39092,                0.28332,                0.66946,              0.0005645,              0.0005645,              0.0005645
                     31,                0.29043,                 4.6118,                0.35738,                0.36808,                0.94463,                0.99819,                      1,                  0.995,                0.94032,                0.59891,                    0.6,                0.42132,                0.08985,                0.37643,                 4.8118,                0.38808,                0.30136,                0.65838,               0.000515,               0.000515,               0.000515
                     32,                0.27494,                 4.5009,                0.34417,                0.25474,                0.91945,                0.99808,                      1,                  0.995,                0.98907,                0.79846,                    0.8,                0.66599,                0.19129,                0.34448,                 4.1909,                0.35435,                0.33252,                0.64697,              0.0004655,              0.0004655,              0.0004655
                     33,                0.26028,                 4.3678,                 0.3224,                0.24761,                0.91544,                0.99819,                      1,                  0.995,                0.98704,                0.79855,                    0.8,                0.67211,                0.16459,                0.27439,                 4.2504,                0.35658,                0.30883,                0.60132,               0.000416,               0.000416,               0.000416
                     34,                0.22638,                 3.9542,                0.30577,                 0.2184,                0.90283,                0.99826,                      1,                  0.995,                0.98613,                0.73203,                0.73333,                 0.5699,                0.13199,                0.29414,                 4.1344,                0.32767,                0.27533,                0.60768,              0.0003665,              0.0003665,              0.0003665
                     35,                0.21731,                 3.9552,                0.29929,                0.20138,                0.90981,                0.99828,                      1,                  0.995,                0.97769,                0.79863,                    0.8,                0.66491,                0.18399,                0.27818,                 3.9979,                0.31176,                0.26467,                0.60003,               0.000317,               0.000317,               0.000317
                     36,                 0.2131,                 3.7623,                 0.2852,                0.19134,                0.88315,                0.99828,                      1,                  0.995,                0.98005,                0.76535,                0.76667,                0.63292,                0.15603,                0.27576,                 3.8434,                0.30324,                0.25622,                0.59997,              0.0002675,              0.0002675,              0.0002675
                     37,                0.21263,                 3.6814,                0.29336,                0.18961,                0.88921,                0.99832,                      1,                  0.995,                 0.9806,                0.79863,                    0.8,                0.73723,                0.23684,                0.27871,                 3.6816,                0.29523,                0.25402,                0.60957,               0.000218,               0.000218,               0.000218
                     38,                0.19201,                 3.3594,                0.27259,                0.17674,                0.89457,                0.99832,                      1,                  0.995,                0.98452,                0.83191,                0.83333,                0.81002,                0.28712,                0.27322,                 3.5891,                0.28405,                0.25786,                0.60972,              0.0001685,              0.0001685,              0.0001685
                     39,                0.19237,                 3.3691,                0.26919,                0.17525,                0.88661,                0.99829,                      1,                  0.995,                0.97866,                0.83191,                0.83333,                0.75717,                0.27932,                0.27006,                 3.5678,                 0.2823,                0.25224,                 0.6123,               0.000119,               0.000119,               0.000119
                     40,                0.18584,                 3.3842,                 0.2582,                0.17262,                0.88669,                0.99827,                      1,                  0.995,                 0.9788,                0.86517,                0.86667,                 0.8267,                0.29529,                0.26969,                 3.4312,                0.27951,                0.24371,                0.61859,               6.95e-05,               6.95e-05,               6.95e-05
